"Year","Make","Model","Used_Certified","Price","ConsumerRating","ConsumerReviews","SellerType","State","DealType","ComfortRating","ReliabilityRating","MinMPG","MaxMPG","FuelType","Mileage"
"2019","Toyota","Sienna SE","Used","39998","4.6","45","Dealer","CA","Great","4.7","4.7","19","27","Gasoline","29403"
"2018","Ford","F-150 Lariat","Used","49985","4.8","817","Dealer","CA","Good","4.9","4.7","19","24","Gasoline","32929"
"2017","RAM","1500 Laramie","Used","41860","4.7","495","Dealer","CA","Good","4.8","4.7","15","21","Gasoline","23173"
"2021","Honda","Accord Sport SE","Used","28500","5","36","Dealer","NV","NA","4.9","5","29","35","Gasoline","10598"
"2020","Lexus","RX 350","Used","49000","4.8","76","Dealer","NV","Good","4.9","4.9","20","27","Gasoline","28137"
"2017","Honda","HR-V LX","Used","20995","4.6","200","Dealer","CA","Great","4.6","4.8","28","34","Gasoline","10458"
"2021","Honda","Pilot Touring 8-Passenger","Used","44299","4.8","63","Dealer","AZ","Good","4.9","4.8","19","26","Gasoline","14445"
"2020","Dodge","Charger Scat Pack","Certified","46773","4.8","56","Dealer","AZ","Good","4.9","4.9","15","24","Gasoline","25642"
"2017","Lexus","RC 350 Base","Used","42734","4.8","14","Dealer","AZ","Great","4.6","4.9","19","28","Gasoline","10236"
"2017","Lexus","RX 350 RX 350","Used","36450","4.7","261","Dealer","AZ","Good","4.8","4.8","20","27","Gasoline","47729"
"2020","Dodge","Charger Scat Pack","Certified","47500","4.8","56","Dealer","AZ","Good","4.9","4.9","15","24","Gasoline","31538"
"2020","Dodge","Charger Scat Pack","Used","41000","4.8","56","Dealer","AZ","NA","4.9","4.9","15","24","Gasoline","18717"
"2017","Lexus","RC 350 Base","Used","41493","4.8","14","Dealer","AZ","Fair","4.6","4.9","19","28","Gasoline","34102"
"2018","Ford","Explorer XLT","Used","32995","4.8","265","Dealer","UT","Good","4.9","4.8","16","22","Gasoline","61294"
"2021","Subaru","Crosstrek Premium","Used","25500","4.8","78","Dealer","UT","NA","4.9","4.8","28","33","Gasoline","11508"
"2018","Ford","Explorer XLT","Used","33341","4.8","265","Dealer","UT","Good","4.9","4.8","16","22","Gasoline","81375"
"2018","Ford","Explorer XLT","Used","30489","4.8","265","Dealer","UT","Good","4.9","4.8","17","24","Gasoline","28357"
"2018","Ford","Explorer XLT","Used","32489","4.8","265","Dealer","UT","Good","4.9","4.8","16","22","Gasoline","33188"
"2021","Acura","RDX A-Spec","Used","37000","4.8","42","Dealer","UT","NA","4.9","4.8","21","26","Gasoline","5188"
"2021","Acura","RDX A-Spec","Used","38000","4.8","42","Dealer","UT","NA","4.9","4.8","21","26","Gasoline","12878"
"2018","Ford","Explorer XLT","Used","31672","4.8","265","Dealer","UT","Good","4.9","4.8","16","22","Gasoline","47661"
"2021","Subaru","Forester Sport","Used","29500","4.9","109","Dealer","ID","NA","4.9","4.9","26","33","Gasoline","10859"
"2018","Subaru","Crosstrek 2.0i Premium","Used","31995","4.8","343","Dealer","WA","Fair","4.8","4.9","27","33","Gasoline","30849"
"2018","Subaru","Crosstrek 2.0i Premium","Used","24561","4.8","343","Dealer","WA","Good","4.8","4.9","27","33","Gasoline","86759"
"2018","Subaru","Crosstrek 2.0i Premium","Used","24921","4.8","343","Dealer","ID","Good","4.8","4.9","27","33","Gasoline","61053"
"2019","Honda","Odyssey EX-L","Used","38347","4.6","133","Dealer","TX","Good","4.8","4.5","19","28","Gasoline","64571"
"2020","Mercedes-Benz","GLC 300 Base","Used","43451","4.8","35","Dealer","TX","Good","4.9","4.7","22","29","Gasoline","34768"
"2019","Audi","Q5 2.0T Premium","Used","37300","4.7","42","Dealer","TX","Good","4.8","4.7","22","27","Gasoline","26012"
"2019","Volvo","XC60 T5 Momentum","Used","40782","4.9","82","Dealer","NE","Good","5","4.9","20","27","Gasoline","10969"
"2019","Honda","Odyssey EX-L","Used","38900","4.6","133","Dealer","KS","Good","4.8","4.5","19","28","Gasoline","32201"
"2019","Lincoln","MKZ Standard","Used","30691","4.9","32","Dealer","TX","Fair","5","5","20","31","Gasoline","34686"
"2020","Subaru","Ascent Touring 7-Passenger","Used","31754","4.8","83","Dealer","MN","Great","4.8","4.8","20","26","Gasoline","47226"
"2017","Land","Rover Range Rover Evoque SE Premium","Used","34555","4.3","42","Private","WI","Great","4.4","4","21","29","Gasoline","39855"
"2019","Chevrolet","Impala Premier 2LZ","Used","26998","4.7","61","Dealer","WI","Fair","4.8","4.8","19","28","Gasoline","49372"
"2017","Honda","Civic EX","Used","22004","4.8","743","Dealer","IL","Good","4.7","4.8","31","40","Gasoline","35257"
